"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @amazonwatch: The new coronavirus has reached the native populations of Brazil. 

 Today experts fear the devastating consequences it ma…",FALSE,0,NA,2020-04-07 14:39:43,FALSE,NA,"1247534525539737605",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","IanPindar",4,TRUE,FALSE,NA,NA
"RT @amazonwatch: The new coronavirus has reached the native populations of Brazil. 

 Today experts fear the devastating consequences it ma…",FALSE,0,NA,2020-04-07 14:39:41,FALSE,NA,"1247534514810662920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DivaKnevil",4,TRUE,FALSE,NA,NA
"RT @JMVivancoHRW: “Health experts warn that the spreading virus could be lethal for Brazil’s 850,000 indigenous people, who have been decim…",FALSE,0,NA,2020-04-07 14:39:27,FALSE,NA,"1247534458166628353",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","airnation",1035,TRUE,FALSE,NA,NA
"RT @BenjaminNorton: Brazil's military stepped in and took over power from fascist President Bolsonaro during the coronavirus pandemic

But…",FALSE,0,NA,2020-04-07 14:39:17,FALSE,NA,"1247534415783153669",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","barbarablondel",20,TRUE,FALSE,NA,NA
"RT @BeholdIsrael: Man-made virus? Pre-planned plot? Maybe! But THIS is the real story of the last few weeks. From Brazil to India, people t…",FALSE,0,NA,2020-04-07 14:39:05,FALSE,NA,"1247534367158595596",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","airnation",1103,TRUE,FALSE,NA,NA
"“Various mathematical models show that the virus will potentially be circulating until around September, with a sig… https://t.co/Gv9WQm8C3H",FALSE,0,"BrazilianReport",2020-04-07 14:39:02,TRUE,"1247534250301091844","1247534354995138562","876864066190536705","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BrazilianReport",0,FALSE,FALSE,NA,NA
"RT @amazonwatch: The new coronavirus has reached the native populations of Brazil. 

 Today experts fear the devastating consequences it ma…",FALSE,0,NA,2020-04-07 14:38:47,FALSE,NA,"1247534290188914690",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Gregoutan",4,TRUE,FALSE,NA,NA
"RT @tomphillipsin: “Brazil’s president has been forced into a humiliating climbdown after a revolt by top members of the country’s politica…",FALSE,0,NA,2020-04-07 14:38:43,FALSE,NA,"1247534274699386893",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","StephenJRusse1l",3,TRUE,FALSE,NA,NA
"RT @amazonwatch: The new coronavirus has reached the native populations of Brazil. 

 Today experts fear the devastating consequences it ma…",FALSE,0,NA,2020-04-07 14:38:43,FALSE,NA,"1247534272371515394",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","always_be_quiet",4,TRUE,FALSE,NA,NA
"The new coronavirus has reached the native populations of Brazil. 

 Today experts fear the devastating consequence… https://t.co/h3ZOqPxhfo",FALSE,4,NA,2020-04-07 14:38:00,TRUE,NA,"1247534092674945024",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","amazonwatch",4,FALSE,FALSE,NA,NA
"RT @tribunemagazine: Brazilian president Jair Bolsonaro has launched a 'Brazil Can't Stop' campaign to encourage people to work despite cor…",FALSE,0,NA,2020-04-07 14:37:43,FALSE,NA,"1247534021539553283",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","T_mcilhatton",167,TRUE,FALSE,NA,NA
"RT @BenjaminNorton: Brazil's fascist education minister tweeted a blatantly racist and insane conspiracy theory that China is using coronav…",FALSE,0,NA,2020-04-07 14:37:30,FALSE,NA,"1247533966350897156",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GarlandSculptor",31,TRUE,FALSE,NA,NA
"RT @tomphillipsin: “Brazil’s president has been forced into a humiliating climbdown after a revolt by top members of the country’s politica…",FALSE,0,NA,2020-04-07 14:37:13,FALSE,NA,"1247533896649945090",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","manolandz",3,TRUE,FALSE,NA,NA
"RT @tomphillipsin: “Brazil’s president has been forced into a humiliating climbdown after a revolt by top members of the country’s politica…",FALSE,0,NA,2020-04-07 14:37:10,FALSE,NA,"1247533882439643137",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Joffrevc",3,TRUE,FALSE,NA,NA
"RT @CTmagazine: “The church’s mission is not limited to preparing man to live in heaven, but also to teach him how to behave on earth"" -Fer…",FALSE,0,NA,2020-04-07 14:36:30,FALSE,NA,"1247533717398020097",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zackweingartner",8,TRUE,FALSE,NA,NA
"BBC News - Coronavirus 'could wipe out Brazil's indigenous people' https://t.co/HBQH8a9oVR",FALSE,0,NA,2020-04-07 14:36:16,FALSE,NA,"1247533655116754945",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EPButler",0,FALSE,FALSE,NA,NA
